0.000	0.569	0.518	0.018	0.019	0.039	0.010	0.035	0.005	0.034	0.046	0.045	0.429	0.475	0.626	0.001	0.063	0.001	0.016	0.484
0.569	0.000	0.560	0.025	0.010	0.030	0.019	0.022	0.001	0.005	0.042	0.022	0.631	0.335	0.562	0.014	0.050	0.035	0.041	0.734
0.518	0.560	0.000	0.042	0.026	0.042	0.001	0.001	0.031	0.001	0.001	0.015	0.529	0.422	0.458	0.025	0.030	0.014	0.001	0.487
0.018	0.025	0.042	0.000	0.031	0.015	0.022	0.001	0.026	0.037	0.037	0.500	0.051	0.062	0.001	0.654	0.808	0.565	0.001	0.053
0.019	0.010	0.026	0.031	0.000	0.608	0.445	0.563	0.645	0.537	0.519	0.046	0.021	0.022	0.005	0.030	0.047	0.035	0.585	0.033
0.039	0.030	0.042	0.015	0.608	0.000	0.695	0.535	0.514	0.642	0.650	0.037	0.011	0.019	0.069	0.019	0.150	0.048	0.522	0.050
0.010	0.019	0.001	0.022	0.445	0.695	0.000	0.606	0.722	0.624	0.534	0.012	0.028	0.001	0.012	0.042	0.099	0.021	0.647	0.014
0.035	0.022	0.001	0.001	0.563	0.535	0.606	0.000	0.510	0.536	0.532	0.005	0.022	0.006	0.001	0.001	0.016	0.014	0.514	0.020
0.005	0.001	0.031	0.026	0.645	0.514	0.722	0.510	0.000	0.593	0.498	0.037	0.022	0.001	0.049	0.001	0.049	0.006	0.557	0.006
0.034	0.005	0.001	0.037	0.537	0.642	0.624	0.536	0.593	0.000	0.515	0.001	0.030	0.023	0.015	0.019	0.200	0.052	0.642	0.028
0.046	0.042	0.001	0.037	0.519	0.650	0.534	0.532	0.498	0.515	0.000	0.012	0.021	0.001	0.001	0.018	0.800	0.038	0.564	0.036
0.045	0.022	0.015	0.500	0.046	0.037	0.012	0.005	0.037	0.001	0.012	0.000	0.044	0.029	0.036	0.549	0.010	0.571	0.002	0.006
0.429	0.631	0.529	0.051	0.021	0.011	0.028	0.022	0.022	0.030	0.021	0.044	0.000	0.415	0.580	0.003	0.200	0.047	0.001	0.639
0.475	0.335	0.422	0.062	0.022	0.019	0.001	0.006	0.001	0.023	0.001	0.029	0.415	0.000	0.442	0.014	0.790	0.001	0.008	0.665
0.626	0.562	0.458	0.001	0.005	0.069	0.012	0.001	0.049	0.015	0.001	0.036	0.580	0.442	0.000	0.001	0.081	0.005	0.053	0.613
0.001	0.014	0.025	0.654	0.030	0.019	0.042	0.001	0.001	0.019	0.018	0.549	0.003	0.014	0.001	0.000	0.065	0.773	0.001	0.008
0.063	0.050	0.030	0.808	0.047	0.150	0.099	0.016	0.049	0.200	0.800	0.010	0.200	0.790	0.081	0.065	0.000	0.200	0.073	0.030
0.001	0.035	0.014	0.565	0.035	0.048	0.021	0.014	0.006	0.052	0.038	0.571	0.047	0.001	0.005	0.773	0.200	0.000	0.009	0.001
0.016	0.041	0.001	0.001	0.585	0.522	0.647	0.514	0.557	0.642	0.564	0.002	0.001	0.008	0.053	0.001	0.073	0.009	0.000	0.040
0.484	0.734	0.487	0.053	0.033	0.050	0.014	0.020	0.006	0.028	0.036	0.006	0.639	0.665	0.613	0.008	0.030	0.001	0.040	0.000
